original,translate
Arcane Necklace of Athletics,Arcane Necklace of Athletics
Arcane Necklace of Agility,Arcane Necklace of Agility
Arcane Necklace of Awareness,Arcane Necklace of Awareness
Arcane Necklace of Crafting,Arcane Necklace of Crafting
Arcane Necklace of Defence,Arcane Necklace of Defence
Arcane Necklace of Diplomacy,Arcane Necklace of Diplomacy
Arcane Necklace of Fortitude,Arcane Necklace of Fortitude
Arcane Necklace of Healing,Arcane Necklace of Healing
Arcane Necklace of the Hero,Arcane Necklace of the Hero
Arcane Necklace of Celerity,Arcane Necklace of Celerity
Arcane Necklace of Intellect,Arcane Necklace of Intellect
Arcane Necklace of Lore,Arcane Necklace of Lore
Arcane Necklace of Presence,Arcane Necklace of Presence
Arcane Necklace of Protection,Arcane Necklace of Protection
Arcane Necklace of Speed,Arcane Necklace of Speed
Arcane Necklace of Stealth,Arcane Necklace of Stealth
Arcane Necklace of Strength,Arcane Necklace of Strength
Arcane Necklace of Survival,Arcane Necklace of Survival
Arcane Necklace of Thievery,Arcane Necklace of Thievery
Arcane Necklace of Toughness,Arcane Necklace of Toughness
Arcane Necklace of Willpower,Arcane Necklace of Willpower
Beryl Necklace of Agility,Beryl Necklace of Agility
Beryl Necklace of Athletics,Beryl Necklace of Athletics
Beryl Necklace of Awareness,Beryl Necklace of Awareness
Beryl Necklace of Crafting,Beryl Necklace of Crafting
Beryl Necklace of Defence,Beryl Necklace of Defence
Beryl Necklace of Diplomacy,Beryl Necklace of Diplomacy
Beryl Necklace of Fortitude,Beryl Necklace of Fortitude
Beryl Necklace of Healing,Beryl Necklace of Healing
Beryl Necklace of Celerity,Beryl Necklace of Celerity
Beryl Necklace of Intellect,Beryl Necklace of Intellect
Beryl Necklace of Lore,Beryl Necklace of Lore
Beryl Necklace of Presence,Beryl Necklace of Presence
Beryl Necklace of Stealth,Beryl Necklace of Stealth
Beryl Necklace of Strength,Beryl Necklace of Presence
Beryl Necklace of Survival,Beryl Necklace of Survival
Beryl Necklace of Thievery,Beryl Necklace of Thievery
Beryl Necklace of Toughness,Beryl Necklace of Toughness
Beryl Necklace of Willpower,Beryl Necklace of Willpower
Copper Locket of Athletics,Copper Locket of Athletics
Copper Locket of Awareness,Copper Locket of Awareness
Copper Locket of Crafting,Copper Locket of Crafting
Copper Locket of Defence,Copper Locket of Defence
Copper Locket of Diplomacy,Copper Locket of Diplomacy
Copper Locket of Fortitude,Copper Locket of Fortitude
Copper Locket of Healing,Copper Locket of Healing
Copper Locket of Celerity,Copper Locket of Celerity
Copper Locket of Lore,Copper Locket of Lore
Copper Locket of Stealth,Copper Locket of Stealth
Copper Locket of Survival,Copper Locket of Survival
Copper Locket of Thievery,Copper Locket of Thievery
Copper Locket of Toughness,Copper Locket of Toughness
Copper Locket of Willpower,Copper Locket of Willpower
Coral Necklace of Agility,Coral Necklace of Agility
Coral Necklace of Athletics,Coral Necklace of Athletics
Coral Necklace of Awareness,Coral Necklace of Awareness
Coral Necklace of Crafting,Coral Necklace of Crafting
Coral Necklace of Defence,Coral Necklace of Defence
Coral Necklace of Diplomacy,Coral Necklace of Diplomacy
Coral Necklace of Fortitude,Coral Necklace of Fortitude
Coral Necklace of Healing,Coral Necklace of Healing
Coral Necklace of Celerity,Coral Necklace of Celerity
Coral Necklace of Intellect,Coral Necklace of Intellect
Coral Necklace of Lore,Coral Necklace of Lore
Coral Necklace of Presence,Coral Necklace of Presence
Coral Necklace of Stealth,Coral Necklace of Stealth
Coral Necklace of Strength,Coral Necklace of Presence
Coral Necklace of Survival,Coral Necklace of Survival
Coral Necklace of Thievery,Coral Necklace of Thievery
Coral Necklace of Toughness,Coral Necklace of Toughness
Coral Necklace of Willpower,Coral Necklace of Willpower
Diamond Necklace of Athletics,Diamond Necklace of Athletics
Diamond Necklace of Agility,Diamond Necklace of Agility
Diamond Necklace of Awareness,Diamond Necklace of Awareness
Diamond Necklace of Crafting,Diamond Necklace of Crafting
Diamond Necklace of Defence,Diamond Necklace of Defence
Diamond Necklace of Diplomacy,Diamond Necklace of Diplomacy
Diamond Necklace of Fortitude,Diamond Necklace of Fortitude
Diamond Necklace of Healing,Diamond Necklace of Healing
Diamond Necklace of the Hero,Diamond Necklace of the Hero
Diamond Necklace of Celerity,Diamond Necklace of Celerity
Diamond Necklace of Intellect,Diamond Necklace of Intellect
Diamond Necklace of Lore,Diamond Necklace of Lore
Diamond Necklace of Presence,Diamond Necklace of Presence
Diamond Necklace of Protection,Diamond Necklace of Protection
Diamond Necklace of Speed,Diamond Necklace of Speed
Diamond Necklace of Stealth,Diamond Necklace of Stealth
Diamond Necklace of Strength,Diamond Necklace of Strength
Diamond Necklace of Survival,Diamond Necklace of Survival
Diamond Necklace of Thievery,Diamond Necklace of Thievery
Diamond Necklace of Toughness,Diamond Necklace of Toughness
Diamond Necklace of Willpower,Diamond Necklace of Willpower
Firegold Necklace of Agility,Firegold Necklace of Agility
Firegold Necklace of Athletics,Firegold Necklace of Athletics
Firegold Necklace of Awareness,Firegold Necklace of Awareness
Firegold Necklace of Crafting,Firegold Necklace of Crafting
Firegold Necklace of Defence,Firegold Necklace of Defence
Firegold Necklace of Diplomacy,Firegold Necklace of Diplomacy
Firegold Necklace of Fortitude,Firegold Necklace of Fortitude
Firegold Necklace of Healing,Firegold Necklace of Healing
Firegold Necklace of Celerity,Firegold Necklace of Celerity
Firegold Necklace of Intellect,Firegold Necklace of Intellect
Firegold Necklace of Lore,Firegold Necklace of Lore
Firegold Necklace of Presence,Firegold Necklace of Presence
Firegold Necklace of Stealth,Firegold Necklace of Stealth
Firegold Necklace of Strength,Firegold Necklace of Presence
Firegold Necklace of Survival,Firegold Necklace of Survival
Firegold Necklace of Thievery,Firegold Necklace of Thievery
Firegold Necklace of Toughness,Firegold Necklace of Toughness
Firegold Necklace of Willpower,Firegold Necklace of Willpower
Garnet Necklace of Athletics,Garnet Necklace of Athletics
Garnet Necklace of Agility,Garnet Necklace of Agility
Garnet Necklace of Awareness,Garnet Necklace of Awareness
Garnet Necklace of Crafting,Garnet Necklace of Crafting
Garnet Necklace of Defence,Garnet Necklace of Defence
Garnet Necklace of Diplomacy,Garnet Necklace of Diplomacy
Garnet Necklace of Fortitude,Garnet Necklace of Fortitude
Garnet Necklace of Healing,Garnet Necklace of Healing
Garnet Necklace of the Hero,Garnet Necklace of the Hero
Garnet Necklace of Celerity,Garnet Necklace of Celerity
Garnet Necklace of Intellect,Garnet Necklace of Intellect
Garnet Necklace of Lore,Garnet Necklace of Lore
Garnet Necklace of Presence,Garnet Necklace of Presence
Garnet Necklace of Protection,Garnet Necklace of Protection
Garnet Necklace of Speed,Garnet Necklace of Speed
Garnet Necklace of Stealth,Garnet Necklace of Stealth
Garnet Necklace of Strength,Garnet Necklace of Strength
Garnet Necklace of Survival,Garnet Necklace of Survival
Garnet Necklace of Thievery,Garnet Necklace of Thievery
Garnet Necklace of Toughness,Garnet Necklace of Toughness
Garnet Necklace of Willpower,Garnet Necklace of Willpower
Jade Necklace of Athletics,Jade Necklace of Athletics
Jade Necklace of Awareness,Jade Necklace of Awareness
Jade Necklace of Crafting,Jade Necklace of Crafting
Jade Necklace of Defence,Jade Necklace of Defence
Jade Necklace of Diplomacy,Jade Necklace of Diplomacy
Jade Necklace of Fortitude,Jade Necklace of Fortitude
Jade Necklace of Healing,Jade Necklace of Healing
Jade Necklace of Celerity,Jade Necklace of Celerity
Jade Necklace of Lore,Jade Necklace of Lore
Jade Necklace of Stealth,Jade Necklace of Stealth
Jade Necklace of Survival,Jade Necklace of Survival
Jade Necklace of Thievery,Jade Necklace of Thievery
Jade Necklace of Toughness,Jade Necklace of Toughness
Jade Necklace of Willpower,Jade Necklace of Willpower
Pagan Necklace of Agility,Pagan Necklace of Agility
Pagan Necklace of Athletics,Pagan Necklace of Athletics
Pagan Necklace of Awareness,Pagan Necklace of Awareness
Pagan Necklace of Crafting,Pagan Necklace of Crafting
Pagan Necklace of Defence,Pagan Necklace of Defence
Pagan Necklace of Diplomacy,Pagan Necklace of Diplomacy
Pagan Necklace of Fortitude,Pagan Necklace of Fortitude
Pagan Necklace of Healing,Pagan Necklace of Healing
Pagan Necklace of Celerity,Pagan Necklace of Celerity
Pagan Necklace of Intellect,Pagan Necklace of Intellect
Pagan Necklace of Lore,Pagan Necklace of Lore
Pagan Necklace of Presence,Pagan Necklace of Presence
Pagan Necklace of Stealth,Pagan Necklace of Stealth
Pagan Necklace of Strength,Pagan Necklace of Presence
Pagan Necklace of Survival,Pagan Necklace of Survival
Pagan Necklace of Thievery,Pagan Necklace of Thievery
Pagan Necklace of Toughness,Pagan Necklace of Toughness
Pagan Necklace of Willpower,Pagan Necklace of Willpower
Profane Necklace of Athletics,Profane Necklace of Athletics
Profane Necklace of Agility,Profane Necklace of Agility
Profane Necklace of Awareness,Profane Necklace of Awareness
Profane Necklace of Crafting,Profane Necklace of Crafting
Profane Necklace of Defence,Profane Necklace of Defence
Profane Necklace of Diplomacy,Profane Necklace of Diplomacy
Profane Necklace of Fortitude,Profane Necklace of Fortitude
Profane Necklace of Healing,Profane Necklace of Healing
Profane Necklace of the Hero,Profane Necklace of the Hero
Profane Necklace of Celerity,Profane Necklace of Celerity
Profane Necklace of Intellect,Profane Necklace of Intellect
Profane Necklace of Lore,Profane Necklace of Lore
Profane Necklace of Presence,Profane Necklace of Presence
Profane Necklace of Protection,Profane Necklace of Protection
Profane Necklace of Speed,Profane Necklace of Speed
Profane Necklace of Stealth,Profane Necklace of Stealth
Profane Necklace of Strength,Profane Necklace of Strength
Profane Necklace of Survival,Profane Necklace of Survival
Profane Necklace of Thievery,Profane Necklace of Thievery
Profane Necklace of Toughness,Profane Necklace of Toughness
Profane Necklace of Willpower,Profane Necklace of Willpower
Ruby Necklace of Athletics,Ruby Necklace of Athletics
Ruby Necklace of Awareness,Ruby Necklace of Awareness
Ruby Necklace of Crafting,Ruby Necklace of Crafting
Ruby Necklace of Defence,Ruby Necklace of Defence
Ruby Necklace of Diplomacy,Ruby Necklace of Diplomacy
Ruby Necklace of Fortitude,Ruby Necklace of Fortitude
Ruby Necklace of Healing,Ruby Necklace of Healing
Ruby Necklace of Celerity,Ruby Necklace of Celerity
Ruby Necklace of Lore,Ruby Necklace of Lore
Ruby Necklace of Stealth,Ruby Necklace of Stealth
Ruby Necklace of Survival,Ruby Necklace of Survival
Ruby Necklace of Thievery,Ruby Necklace of Thievery
Ruby Necklace of Toughness,Ruby Necklace of Toughness
Ruby Necklace of Willpower,Ruby Necklace of Willpower
Skull Necklace of Agility,Skull Necklace of Agility
Skull Necklace of Athletics,Skull Necklace of Athletics
Skull Necklace of Awareness,Skull Necklace of Awareness
Skull Necklace of Crafting,Skull Necklace of Crafting
Skull Necklace of Defence,Skull Necklace of Defence
Skull Necklace of Diplomacy,Skull Necklace of Diplomacy
Skull Necklace of Fortitude,Skull Necklace of Fortitude
Skull Necklace of Healing,Skull Necklace of Healing
Skull Necklace of Celerity,Skull Necklace of Celerity
Skull Necklace of Intellect,Skull Necklace of Intellect
Skull Necklace of Lore,Skull Necklace of Lore
Skull Necklace of Presence,Skull Necklace of Presence
Skull Necklace of Stealth,Skull Necklace of Stealth
Skull Necklace of Strength,Skull Necklace of Presence
Skull Necklace of Survival,Skull Necklace of Survival
Skull Necklace of Thievery,Skull Necklace of Thievery
Skull Necklace of Toughness,Skull Necklace of Toughness
Skull Necklace of Willpower,Skull Necklace of Willpower
Amethyst Ring of Agility,Amethyst Ring of Agility
Amethyst Ring of Athletics,Amethyst Ring of Athletics
Amethyst Ring of Awareness,Amethyst Ring of Awareness
Amethyst Ring of Crafting,Amethyst Ring of Crafting
Amethyst Ring of Defence,Amethyst Ring of Defence
Amethyst Ring of Diplomacy,Amethyst Ring of Diplomacy
Amethyst Ring of Fortitude,Amethyst Ring of Fortitude
Amethyst Ring of Healing,Amethyst Ring of Healing
Amethyst Ring of Celerity,Amethyst Ring of Celerity
Amethyst Ring of Lore,Amethyst Ring of Lore
Amethyst Ring of Presence,Amethyst Ring of Presence
Amethyst Ring of Stealth,Amethyst Ring of Stealth
Amethyst Ring of Strength,Amethyst Ring of Strength
Amethyst Ring of Survival,Amethyst Ring of Survival
Amethyst Ring of Thievery,Amethyst Ring of Thievery
Amethyst Ring of Toughness,Amethyst Ring of Toughness
Amethyst Ring of Willpower,Amethyst Ring of Willpower
Aquamarine Ring of Agility,Aquamarine Ring of Agility
Aquamarine Ring of Athletics,Aquamarine Ring of Athletics
Aquamarine Ring of Awareness,Aquamarine Ring of Awareness
Aquamarine Ring of Crafting,Aquamarine Ring of Crafting
Aquamarine Ring of Defence,Aquamarine Ring of Defence
Aquamarine Ring of Diplomacy,Aquamarine Ring of Diplomacy
Aquamarine Ring of Fortitude,Aquamarine Ring of Fortitude
Aquamarine Ring of Healing,Aquamarine Ring of Healing
Aquamarine Ring of Celerity,Aquamarine Ring of Celerity
Aquamarine Ring of Lore,Aquamarine Ring of Lore
Aquamarine Ring of Presence,Aquamarine Ring of Presence
Aquamarine Ring of Speed,Aquamarine Ring of Speed
Aquamarine Ring of Stealth,Aquamarine Ring of Stealth
Aquamarine Ring of Strength,Aquamarine Ring of Strength
Aquamarine Ring of Survival,Aquamarine Ring of Survival
Aquamarine Ring of Thievery,Aquamarine Ring of Thievery
Aquamarine Ring of Toughness,Aquamarine Ring of Toughness
Aquamarine Ring of Willpower,Aquamarine Ring of Willpower
Arboreal Ring of Athletics,Arboreal Ring of Athletics
Arboreal Ring of Agility,Arboreal Ring of Agility
Arboreal Ring of Awareness,Arboreal Ring of Awareness
Arboreal Ring of Crafting,Arboreal Ring of Crafting
Arboreal Ring of Defence,Arboreal Ring of Defence
Arboreal Ring of Diplomacy,Arboreal Ring of Diplomacy
Arboreal Ring of Fortitude,Arboreal Ring of Fortitude
Arboreal Ring of Healing,Arboreal Ring of Healing
Arboreal Ring of the Hero,Arboreal Ring of the Hero
Arboreal Ring of Celerity,Arboreal Ring of Celerity
Arboreal Ring of Intellect,Arboreal Ring of Intellect
Arboreal Ring of Lore,Arboreal Ring of Lore
Arboreal Ring of Presence,Arboreal Ring of Presence
Arboreal Ring of Protection,Arboreal Ring of Protection
Arboreal Ring of Speed,Arboreal Ring of Speed
Arboreal Ring of Stealth,Arboreal Ring of Stealth
Arboreal Ring of Strength,Arboreal Ring of Strength
Arboreal Ring of Survival,Arboreal Ring of Survival
Arboreal Ring of Thievery,Arboreal Ring of Thievery
Arboreal Ring of Toughness,Arboreal Ring of Toughness
Arboreal Ring of Willpower,Arboreal Ring of Willpower
Emerald Ring of Agility,Emerald Ring of Agility
Emerald Ring of Athletics,Emerald Ring of Athletics
Emerald Ring of Awareness,Emerald Ring of Awareness
Emerald Ring of Crafting,Emerald Ring of Crafting
Emerald Ring of Defence,Emerald Ring of Defence
